页面,功能点,功能描述,子任务/技术要点,优先级,验收标准
登录页,角色选择,用户选择登录角色（广告主/创作者）,"1. 角色选择组件（Radio/Tabs）<br>2. 广告主/创作者两个选项<br>3. 选中状态样式",P0,选择高亮显示；默认可设置推荐角色
登录页,手机号输入,输入11位手机号,"1. 手机号输入框<br>2. 输入限制（只能输入数字）<br>3. 最大长度11位<br>4. placeholder: ""请输入手机号""",P0,输入框只能输入数字；最多11位；格式：1[3-9]开头的11位数字
登录页,验证码输入,输入6位验证码,"1. 验证码输入框<br>2. 输入限制（只能输入数字）<br>3. 最大长度6位<br>4. placeholder: ""请输入验证码""",P0,输入框只能输入数字；最多6位
登录页,发送验证码,发送验证码到手机,"1. ""发送验证码""按钮<br>2. 点击后60秒倒计时<br>3. 倒计时期间按钮禁用<br>4. 倒计时文案：""60s后重新发送""<br>5. 后端接口：POST /api/auth/send-code",P0,点击后开始60秒倒计时；倒计时期间按钮不可点击；倒计时结束后恢复可点击状态
登录页,表单验证,验证手机号和验证码格式,"1. 手机号正则验证：^1[3-9]\\d{9}$<br>2. 验证码长度验证：6位数字<br>3. 手机号为空时提示：""请输入手机号""<br>4. 验证码为空时提示：""请输入验证码""<br>5. 手机号格式错误提示：""请输入正确的手机号""",P0,输入错误手机号时显示错误提示；验证码少于6位时提示
登录页,登录按钮,提交登录表单,"1. ""登录""按钮（全宽）<br>2. 按钮loading状态<br>3. 登录中禁用按钮<br>4. 后端接口：POST /api/auth/login",P0,点击后按钮显示loading；登录中不可重复点击；登录成功后跳转
登录页,登录成功跳转,根据角色跳转不同页面,"1. 广告主跳转到 /client-workspace<br>2. 创作者检测个人信息完善状态<br>3. 未完善则跳转个人信息补充页<br>4. 已完善则跳转到 /creator-workspace<br>5. 存储token到localStorage",P0,广告主登录后跳转工作台；创作者首次登录跳转完善信息页
登录页,登录失败处理,处理登录失败情况,"1. 后端返回错误提示<br>2. Toast显示错误信息<br>3. 清空验证码输入框<br>4. 按钮恢复可点击状态",P0,登录失败时显示错误toast；验证码框清空；按钮可重新点击
登录页,测试账号,方便测试的快速登录,"1. 测试验证码：123456<br>2. 可选：显示测试提示文案",P1,输入123456可以登录成功
注册页,角色选择,用户选择注册角色（广告主/创作者）,"1. 角色选择组件<br>2. 广告主/创作者两个选项<br>3. 角色说明文案",P0,选择高亮显示
注册页,手机号输入,输入11位手机号,"1. 手机号输入框<br>2. 输入限制（只能输入数字）<br>3. 最大长度11位<br>4. placeholder: ""请输入手机号""",P0,输入框只能输入数字；最多11位
注册页,验证码输入,输入6位验证码,"1. 验证码输入框<br>2. 输入限制（只能输入数字）<br>3. 最大长度6位<br>4. placeholder: ""请输入验证码""",P0,输入框只能输入数字；最多6位
