模块,功能点,子任务/技术要点,优先级,验收标准/备注
用户认证与权限管理,手机号验证码登录,"1. 手机号输入校验（正则：`^1[3-9]\\d{9}$`）,P0,"输入错误手机号时显示""请输入正确的手机号""；验证码倒计时期间不可重新发送；登录成功后存储token到localStorage"
用户认证与权限管理,手机号验证码登录,"2. 验证码输入框（6位数字）,P0,"
用户认证与权限管理,手机号验证码登录,"3. 60秒倒计时防重复发送,P0,"
用户认证与权限管理,手机号验证码登录,"4. 测试验证码：123456,P0,"
用户认证与权限管理,手机号验证码登录,"5. 前端表单验证与错误提示,P0,"
用户认证与权限管理,手机号验证码登录,"6. 后端接口：POST /api/auth/send-code、POST /api/auth/login,P0,"
用户认证与权限管理,角色选择与登录分流,"1. 登录页添加角色选择（广告主/创作者）,P0,广告主登录后跳转/client-workspace；创作者登录后检测个人信息完善状态；未登录访问受保护页面跳转到/login"
用户认证与权限管理,角色选择与登录分流,"2. 登录成功后根据角色跳转不同工作台,P0,"
用户认证与权限管理,角色选择与登录分流,"3. AuthContext实现全局状态管理,P0,"
用户认证与权限管理,角色选择与登录分流,"4. 路由守卫拦截未登录用户,P0,"
用户认证与权限管理,页面访问权限控制,"1. 实现路由守卫组件（ProtectedRoute）,P0,未登录访问/post-order、/client-workspace、/creator-workspace等页面自动跳转登录；创作者访问广告主页面显示权限不足"
用户认证与权限管理,页面访问权限控制,"2. 角色权限校验逻辑,P0,"
用户认证与权限管理,页面访问权限控制,"3. 未登录跳转登录页,P0,"
用户认证与权限管理,页面访问权限控制,"4. 角色不符时显示403页面或提示,P0,"
用户认证与权限管理,页面访问权限控制,"5. 后端接口：GET /api/auth/me（获取当前用户信息）,P0,"
用户认证与权限管理,Token刷新与过期处理,"1. Axios拦截器统一处理token过期,P1,Token过期时清除本地存储并跳转登录页；网络请求失败时显示toast提示""网络异常，请稍后重试"""
用户认证与权限管理,Token刷新与过期处理,"2. Token过期自动跳转登录,P1,"
用户认证与权限管理,Token刷新与过期处理,"3. 网络异常统一提示,P1,"
用户认证与权限管理,Token刷新与过期处理,"4. 刷新token机制（如果后端支持）,P1,"
用户认证与权限管理,登录行为埋点,"1. 记录登录角色（广告主/创作者）,P1,埋点数据上报至后端/第三方分析平台"
用户认证与权限管理,登录行为埋点,"2. 记录登录时间,P1,"
用户认证与权限管理,登录行为埋点,"3. 记录登录来源（直接登录/从其他页面跳转）,P1,"
首页,Hero区域,"1. 全屏背景图实现,P0,搜索框回车或点击搜索按钮跳转到/orders?q=xxx；热门标签点击触发搜索；背景图响应式适配"
首页,Hero区域,"2. 主标题渐变动画（fadeInUp）,P0,"
首页,Hero区域,"3. 搜索框组件（placeholder: ""搜索任何素材要求""）,P0,"
首页,Hero区域,"4. 热门标签Chips（爆款视频裂变、电商KOC种草等）,P0,"
首页,Hero区域,"5. 平台信任背书图标展示,P0,"
首页,搜索功能,"1. 搜索框输入校验,P0,输入为空时提示""请输入搜索关键词""；搜索关键词正确传递到任务大厅页面"
首页,搜索功能,"2. 回车触发搜索,P0,"
首页,搜索功能,"3. URL参数拼接（/orders?q=关键词）,P0,"
首页,搜索功能,"4. 热门标签点击跳转,P0,"
首页,解决方案展示区,"1. 优势点卡片列表（4个核心卖点）,P0,4个优势点正确展示；移动端自适应为单列布局"
首页,解决方案展示区,"2. 卡片hover效果,P0,"
首页,解决方案展示区,"3. 图标+标题+说明文案布局,P0,"
首页,解决方案展示区,"4. 响应式网格布局,P0,"
首页,广告主平台优势,"1. 4个优势点展示,P0,桌面端左右布局，移动端上下堆叠；滚动到视口时触发动画"
首页,广告主平台优势,"2. 左右布局（左侧文案，右侧配图/视频）,P0,"
首页,广告主平台优势,"3. 滚动动画效果,P0,"
首页,广告主平台优势,"4. 响应式适配,P0,"
首页,CTA行动号召区,"1. 标题：""收入，触手可及 | 爆量，如此简单"",P0,点击按钮跳转到/login页面"
首页,CTA行动号召区,"2. ""加入热力豆""按钮,P0,"
首页,CTA行动号召区,"3. 点击跳转登录页,P0,"
首页,CTA行动号召区,"4. 背景渐变效果,P0,"
首页,页脚Footer,"1. 快捷跳转链接（5个分类）,P1,链接正确跳转；备案号准确展示；移动端适配"
首页,页脚Footer,"2. 公司信息（名称、备案号等）,P1,"
首页,页脚Footer,"3. 版权信息,P1,"
首页,页脚Footer,"4. 社交媒体链接（可选）,P1,"
首页,首页行为埋点,"1. 搜索行为埋点（关键词、搜索时间）,P1,搜索行为记录关键词；热门标签记录标签名称"
首页,首页行为埋点,"2. 热门标签点击埋点,P1,"
首页,首页行为埋点,"3. CTA按钮点击埋点,P1,"
首页,首页行为埋点,"4. 页面停留时长统计,P1,"
首页,首页加载优化,"1. 图片懒加载,P1,首屏加载时间<2秒；图片滚动到视口时加载"
首页,首页加载优化,"2. 骨架屏loading,P1,"
首页,首页加载优化,"3. 首屏资源优化,P1,"
任务大厅,页面布局,"1. 顶部标题区（任务大厅 + 副标题）,P0,布局清晰；4列网格响应式适配（移动端1-2列）"
任务大厅,页面布局,"2. 平台Tabs（全部、抖音、快手、小红书、视频号、B站）,P0,"
任务大厅,页面布局,"3. 筛选条布局,P0,"
任务大厅,页面布局,"4. 排序工具条,P0,"
任务大厅,页面布局,"5. 任务卡片网格（4列）,P0,"
任务大厅,页面布局,"6. 分页器,P0,"
任务大厅,平台Tab切换,"1. Tab组件实现,P0,点击""抖音""Tab只显示抖音平台订单；URL参数与Tab状态同步"
任务大厅,平台Tab切换,"2. 点击切换平台筛选,P0,"
